Hoofdtelefoonnummer,;088-1881244
Aadorp,;
Aagtekerke,;
Aalden,;
Aalsmeer,;0297-303144
Aalsmeerderbrug,;
Aalst,;
Aalsum,;
Aalten,;
Aardenburg,;
Aarlanderveen,;
Aarle Rixtel,;
Aartswoud,;
Abbega,;
Abbekerk,;
Abbenbroek,;
Abbenes,;
Abcoude,;
Achlum,;
Achterveld,;
Achterveld,;
Achthuizen,;
Achtmaal,;
Acquoy,;
Adorp,;
Aduard,;
Aerdenhout,;
Aerdt,;
Afferden,;
Afferden L,;
Agelo,;
Akersloot,;
Akkrum,;
Akmarijp,;
Albergen,;
Alblasserdam,;
Alde Leie,;
Aldeboarn,;
Aldtsjerk,;
Alem,;
Alkmaar,;072-7600790
Allingawier,;
Almelo,;0546-241030 
Almen,;
Almere,;036-7601181 
Almkerk,;
Alphen,;
Alphen,;
Alphen aan den Rijn,;0172-251313 
Alteveer,;
Alteveer,;
Alteveer,;
Alteveer gem Hoogeveen,;
Altforst,;
Ambt Delden,;
Ameide,;
Amen,;
America,;
Amerongen,;
Amersfoort,;033-2048566 
Ammerstol,;
Ammerzoden,;
Amstelhoek,;
Amstelveen,;020-7600875
Amstenrade,;
Amsterdam,;020-7600875 
Amsterdam West,;020-7600875
Amsterdam Noord,;020-7600875
Amsterdam Oost,;020-7600875 
Amsterdam Zuid,;020-7600875 
Amsterdam Zuidoost,;020-7600875 
Amsterdam Centrum,;020-7600875 
Amsterdam Duivendrecht,;020-7600875 
Andel,;
Andelst,;
Anderen,;
Andijk,;
Ane,;
Anerveen,;
Anevelde,;
Angeren,;
Angerlo,;
Anjum,;
Ankeveen,;
Anloo,;
Anna Paulowna,;
Annen,;
Annerveenschekanaal,;
Ansen,;
Ansen,;
Apeldoorn,;055-2049282 
Appelscha,;
Appeltern,;
Appingedam,;
Arcen,;
Arkel,;
Arnemuiden,;
Arnhem,;026-2051044 
Arriën;
Arum,;
Asch,;
Asperen,;
Asse,;
Assen,;0592-217166 
Assendelft,;
Asten,;088-1881244 
Augsbuurt,;
Augustinusga,;
Austerlitz,;
Avenhorn,;
Axel,;
Azewijn,;
Baaiduinen,;
Baaium,;
Baak,;
Baambrugge,;
Baard,;
Baarland,;
Baarle Nassau,;
Baarlo,;
Baarlo,;
Baarn,;035-7601188 
Baars,;
Babberich,;
Babyloniënbroek;
Bad Nieuweschans,;
Badhoevedorp,;
Baexem,;
Baflo,;
Bakel,;
Bakhuizen,;
Bakkeveen,;
Balgoij,;
Balinge,;
Balk,;
Balkbrug,;
Balloërveld;
Balloo,;
Ballum,;
Baneheide,;
Banholt,;
Bant,;
Bantega,;
Barchem,;
Barendrecht,;0180-229099 
Barger Compascuum,;
Barneveld,;
Barsingerhorn,;
Basse,;
Batenburg,;
Bathmen,;
Bavel,;
Bavel AC,;
Bears,;
Bedum,;
Beegden,;
Beek,;
Beek,;
Beek,;
Beek en Donk,;
Beekbergen,;
Beemte Broekland,;
Beers NB,;
Beerta,;
Beerze,;
Beerzerveld,;
Beesd,;
Beesel,;
Beets,;
Beetsterzwaag,;
Beilen,;
Beinsdorp,;
Belfeld,;
Bellingwolde,;
Belt Schutsloot,;
Beltrum,;
Bemelen,;
Bemmel,;
Beneden Leeuwen,;
Bennebroek,;
Bennekom,;
Benneveld,;
Benningbroek,;
Benschop,;
Bentelo,;
Benthuizen,;
Bentveld,;
Berg en Dal,;
Berg en Terblijt,;
Bergambacht,;
Bergeijk,;
Bergen (NH),;
Bergen aan Zee,;
Bergen L,;
Bergen op Zoom,;0164-760330 
Bergentheim,;
Bergharen,;
Berghem,;
Bergschenhoek,;
Beringe,;
Berkel en Rodenrijs,;
Berkel en Rodenrijs,;
Berkel Enschot,;
Berkenwoude,;
Berkhout,;
Berlicum,;
Berltsum,;
Bern,;
Best,;0499-219069 
Beugen,;
Beuningen,;
Beuningen Gld,;
Beusichem,;
Beutenaken,;
Beverwijk,;0251- 760064 
Biddinghuizen,;
Bierum,;
Biervliet,;
Biervliet,;
Biest Houtakker,;
Biezenmortel,;
Biggekerke,;
Bilthoven,;
Bingelrade,;
Bitgum,;
Bitgummole,;
Bladel,;
Blankenham,;
Blaricum,;
Blauwestad,;
Blauwhuis,;
Bleiswijk,;
Blesdijke,;
Bleskensgraaf ca,;
Blessum,;
Blije,;
Blijham,;
Blitterswijck,;
Bloemendaal,;
Blokker,;
Blokzijl,;
Boazum,;
Bocholtz,;
Bodegraven,;
Boekel,;
Boelenslaan,;
Boer,;
Boerakker,;
Boerakker,;
Boesingheliede,;
Boijl,;
Boksum,;
Bolsward,;
Bontebok,;
Boornbergum,;
Boornzwaag,;
Borculo,;
Borger,;
Borgercompagnie,;
Borgercompagnie,;
Borgsweer,;
Born,;
Borne,;
Bornerbroek,;
Bornwird,;
Borssele,;
Bosch en Duin,;
Boschoord,;
Boskoop,;
Bosschenhoofd,;
Botlek Rotterdam,;
Bourtange,;
Boven Leeuwen,;
Bovenkarspel,;
Bovensmilde,;
Boxmeer,;
Boxtel,;
Braamt,;
Brakel,;
Brandwijk,;
Brantgum,;
Breda,;076-2059390 
Bredevoort,;
Breedenbroek,;
Breezand,;
Breezanddijk,;
Breskens,;
Breukelen,;
Breukeleveen,;
Brielle,;
Briltil,;
Britsum,;
Britswert,;
Broek,;
Broek in Waterland,;
Broek op Langedijk,;
Broekhuizen,;
Broekhuizen,;
Broekhuizenvorst,;
Broekland,;
Broeksterwâld;
Bronkhorst,;
Bronneger,;
Bronnegerveen,;
Brouwershaven,;
Bruchem,;
Brucht,;
Bruchterveld,;
Bruinehaar,;
Bruinisse,;
Brummen,;
Brunssum,;
Bruntinge,;
Buchten,;
Budel,;
Budel Dorplein,;
Budel Schoot,;
Buggenum,;
Buinen,;
Buinerveen,;
Buitenkaag,;
Buitenpost,;
Bunde,;
Bunne,;
Bunnik,;
Bunschoten Spakenburg,;
Burdaard,;
Buren,;
Buren,;
Burgerbrug,;
Burgerveen,;
Burgh Haamstede,;
Burgum,;
Burgwerd,;
Burum,;
Bussum,;035-7601188 
Buurmalsen,;
Buurmalsen,;
Cadier en Keer,;
Cadzand,;
Callantsoog,;
Capelle aan den Ijssel,;010-3105140 
Castelre,;
Castenray,;
Casteren,;
Castricum,;0251-760064 
Chaam,;
Clinge,;
Coevorden,;
Colijnsplaat,;
Collendoorn,;
Colmschate,;
Cornwerd,;
Cothen,;
Creil,;
Cromvoirt,;
Cruquius,;
Cuijk,;
Culemborg,;0345-254002 
Daarle,;
Daarlerveen,;
Dalem,;
Dalen,;
Dalerpeel,;
Dalerveen,;
Dalfsen,;
Dalmsholte,;
Damwâld;
Darp,;
De Bilt,;
De Blesse,;
De Bult,;
De Cocksdorp,;
De Falom,;
De Glind,;
De Goorn,;
De Groeve,;
De Heen,;
De Heurne,;
de Hoef,;
De Hoeve,;
De Kiel,;
De Klomp,;
De Knipe,;
De Koog,;
De Krim,;
De Kwakel,;
De Lier,;
de Lutte,;
De Meern,;
De Moer,;
De Mortel,;
De Pol,;
De Punt,;
De Rijp,;
De Rips,;
De Schiphorst,;
De Steeg,;
De Tike,;
De Veenhoop,;
De Waal,;
De Weere,;
De Westereen,;
de Wijk,;
De Wilgen,;
De Wilp,;
de Woude,;
De Zilk,;
Dearsum,;
Dedemsvaart,;
Dedgum,;
Deelen,;
Deest,;
Deil,;
Deinum,;
Delden,;
Delfgauw,;
Delfstrahuizen,;
Delft,;015-3061080 
Delfzijl,;
Delwijnen,;
Demen,;
Den Andel,;
Den Bommel,;
Den Burg,;
Den Dolder,;
Den Dungen,;
Den Ham,;
Den Ham,;
Den Helder,;022-3760021 
Den Hoorn,;
Den Hoorn,;
Den Horn,;
Den Hout,;
Den Ilp,;
Den Oever,;
Den Velde,;
Denekamp,;
Deurne,;
Deurningen,;
Deurningen,;
Deursen Dennenburg,;
Deurze,;
Deventer,;0570-234022 
Didam,;
Dieden,;
Diemen,;020-7600875 
Diepenheim,;
Diepenveen,;
Dieren,;
Diessen,;
Diever,;
Dieverbrug,;
Diffelen,;
Dijken,;
Dinteloord,;
Dinxperlo,;
Diphoorn,;
Dirkshorn,;
Dirksland,;
Dodewaard,;
Doenrade,;
Doesburg,;
Doetinchem,;0314-216230 
Doeveren,;
Doezum,;
Dokkum,;
Doldersum,;
Domburg,;
Donderen,;
Dongen,;0162-241002 
Dongjum,;
Doniaga,;
Donkerbroek,;
Doorn,;
Doornenburg,;
Doornspijk,;
Doorwerth,;
Dordrecht,;078-2048191 
Dorst,;
Drachten,;0512-232121 
Drachten Azeven,;
Drachtstercompagnie,;
Dreischor,;
Drempt,;
Dreumel,;
Driebergen Rijsenburg,;
Drieborg,;
Driebruggen,;
Driehuis NH,;
Driehuizen,;
Driel,;
Driewegen,;
Driezum,;
Drijber,;
Drimmelen,;
Drogeham,;
Drogteropslagen,;
Drongelen,;
Dronryp,;
Dronten,;0321-230033 
Drouwen,;
Drouwenermond,;
Drouwenerveen,;
Drunen,;
Druten,;
Duiven,;
Duivendrecht,;
Duizel,;
Dussen,;
Dwingeloo,;
Eagum,;
Earnewâld,;
Easterein,;
Easterlittens,;
Eastermar,;
Easterwierrum,;
Echt,;
Echteld,;
Echten,;
Echten,;
Echtenerbrug,;
Eck en Wiel,;
Eckelrade,;
Edam,;
Ede,;0318-261040 
Ederveen,;
Ee,;
Eede,;
Eefde,;
Eelde,;
Eelderwolde,;
Eemdijk,;
Eemnes,;
Eemshaven,;
Een,;
Een West,;
Eenrum,;
Eenum,;
Eerbeek,;
Eersel,;
Ees,;
Eesergroen,;
Eeserveen,;
Eesterga,;
Eesveen,;
Eethen,;
Eext,;
Eexterveen,;
Eexterveenschekanaal,;
Eexterzandvoort,;
Egchel,;
Egmond aan den Hoef,;
Egmond aan Zee,;
Egmond Binnen,;
Eibergen,;
Eijsden,;
Eindhoven,;040-2319688 
Einighausen,;
Ekehaar,;
Elahuizen,;
Elburg,;
Eldersloo,;
Eleveld,;
Elim,;
Elkenrade,;
Ell,;
Ellecom,;
Ellemeet,;
Ellertshaar,;
Ellewoutsdijk,;
Elp,;
Elsendorp,;
Elshout,;
Elsloo,;
Elsloo,;
Elspeet,;
Elst,;
Elst Ut,;
Emmeloord,;0527-441000 
Emmen,;0591-238050 
Emmer Compascuum,;
Empe,;
Emst,;
Engwierum,;
Enkhuizen,;
Ens,;
Enschede,;053-2068424 
Enspijk,;
Enter,;
Enumatil,;
Epe,;088-1881244 
Epen,;
Eppenhuizen,;
Epse,;
Erica,;
Erichem,;
Erlecom,;
Erm,;
Ermelo,;
Erp,;
Esbeek,;
Esch,;
Escharen,;
Espel,;
Est,;
Etten,;
Etten Leur,;076-2059390
Europoort Rotterdam,;
Eursinge,;
Eursinge,;
Everdingen,;
Evertsoord,;
Ewijk,;
Exloërveen,;
Exloo,;
Exmorra,;
Eygelshoven,;
Eys,;
Ezinge,;
Farmsum,;
Feanwâlden,;
Feerwerd,;
Feinsum,;
Ferwert,;
Ferwoude,;
Fijnaart,;
Finsterwolde,;
Firdgum,;
Fleringen,;
Fluitenberg,;
Fochteloo,;
Follega,;
Folsgare,;
Formerum,;
Foudgum,;
Foxhol,;
Foxwolde,;
Franeker,;
Frederiksoord,;
Friens,;
Frieschepalen,;
Froombosch,;
Gaanderen,;
Gaast,;
Gaastemeer,;
Galder,;
Gameren,;
Gapinge,;
Garderen,;
Garmerwolde,;
Garminge,;
Garnwerd,;
Garrelsweer,;
Garsthuizen,;
Garyp,;
Gassel,;
Gasselte,;
Gasselternijveen,;
Gasselternijveenschemond,;
Gastel,;
Gasteren,;
Gauw,;
Geelbroek,;
Geerdijk,;
Geersdijk,;
Geertruidenberg,;
Geervliet,;
Gees,;
Geesbrug,;
Geesteren,;
Geesteren,;
Geeuwenbrug,;
Geffen,;
Geijsteren,;
Geldermalsen,;0345-254002 
Gelderswoude,;
Geldrop,;040-2319688 
Geleen,;
Gellicum,;
Gelselaar,;
Gemert,;
Gemonde,;
Genderen,;
Gendringen,;
Gendt,;
Genemuiden,;
Gennep,;
Gerkesklooster,;
Gersloot,;
Geulle,;
Giesbeek,;
Giessen,;
Giessenburg,;
Gieten,;
Gieterveen,;
Giethmen,;
Giethoorn,;
Gilze,;
Ginnum,;
Glane,;
Glimmen,;
Godlinze,;
Goedereede,;
Goënga,;
Goëngahuizen,;
Goes,;
Goingarijp,;
Goirle,;
Goor,;
Gorinchem,;0183-216011 
Gorredijk,;
Gorssel,;
Gouda,;0182-441190 
Gouderak,;
Goudriaan,;
Goudswaard,;
Goutum,;
Graauw,;
Grafhorst,;
Graft,;
Gramsbergen,;
Grashoek,;
Grathem,;
Grave,;
Greonterp,;
Grevenbicht,;
Griendtsveen,;
Grijpskerk,;
Grijpskerke,;
Groede,;
Groenekan,;
Groeningen,;
Groenlo,;
Groesbeek,;
Groessen,;
Groet,;
Grolloo,;
Groningen,;050-2069180 
Gronsveld,;
Groot Ammers,;
Grootebroek,;
Grootegast,;
Grootschermer,;
Grou,;
Grubbenvorst,;
Gulpen,;
Guttecoven,;
Gytsjerk,;
Haaften,;
Haaksbergen,;
Haalderen,;
Haaren,;
Haarle,;
Haarle,;
Haarlem,;023-2049720 
Haarlemmerliede,;
Haarlo,;
Haarsteeg,;
Haarzuilens,;
Haastrecht,;
Haelen,;
Hagestein,;
Haghorst,;
Haler,;
Halfweg,;
Hall,;
Halle,;
Hallum,;
Halsteren,;
Handel,;
Hank,;
Hansweert,;
Hantum,;
Hantumeruitburen,;
Hantumhuizen,;
Hapert,;
Haps,;
Harbrinkhoek,;
Hardenberg,;0523-225200 
Harderwijk,;0341-217044 
Hardinxveld Giessendam,;
Haren,;
Haren,;
Harfsen,;
Harich,;
Haringhuizen,;
Harkema,;
Harkstede,;
Harkstede GN,;
Harlingen,;
Harmelen,;
Harreveld,;
Harskamp,;
Hartwerd,;
Haskerdijken,;
Haskerhorne,;
Hasselt,;
Hattem,;
Hattemerbroek,;
Haule,;
Haulerwijk,;
Hauwert,;
Havelte,;
Havelterberg,;
Hazerswoude Dorp,;
Hazerswoude Rijndijk,;
Hedel,;
Hedikhuizen,;
Hee,;
Heeg,;
Heel,;
Heelsum,;
Heelweg,;
Heemserveen,;
Heemskerk,;0251-760064 
Heemstede,;
Heenvliet,;
Heerde,;
Heerenveen,;0513-226060  
Heerewaarden,;
Heerhugowaard,;072-7600790 
Heerjansdam,;
Heerle,;
Heerlen,;045-2078006 
Heesbeen,;
Heesch,;
Heesselt,;
Heeswijk Dinther,;
Heeten,;
Heeze,;
Hegebeintum,;
Hegelsom,;
Hei  en Boeicop,;
Heibloem,;
Heide,;
Heijen,;
Heijenrath,;
Heijningen,;
Heikant,;
Heilig Landstichting,;
Heiligerlee,;
Heiloo,;072-7600790 
Heinenoord,;
Heinkenszand,;
Heino,;
Hekelingen,;
Hekendorp,;
Helden,;
Helenaveen,;
Hellendoorn,;
Hellevoetsluis,;0181-301010 
Hellouw,;
Hellum,;
Helmond,;0492-760075 
Helvoirt,;
Hem,;
Hemelum,;
Hemmen,;
Hempens,;
Hemrik,;
Hendrik Ido Ambacht,;
Hengelo,;074-2051323 
Hengelo (Gld),;
Hengevelde,;
Hengstdijk,;
Hensbroek,;
Herbaijum,;
Herkenbosch,;
Herkingen,;
Hernen,;
Herpen,;
Herpt,;
Herten,;
Hertme,;
Herveld,;
Herwen,;
Herwijnen,;
Heteren,;
Heukelom,;
Heukelum,;
Heumen,;
Heusden,;
Heusden,;
Heveadorp,;
Heythuysen,;
Hezingen,;
Hiaure,;
Hichtum,;
Hidaard,;
Hierden,;
Hieslum,;
Hijken,;
Hijum,;
Hilaard,;
Hillegom,;
Hilvarenbeek,;
Hilversum,;035-7601188 
Hindeloopen,;
Hinnaard,;
Hippolytushoef,;
Hitzum,;
Hobrede,;
Hoedekenskerke,;
Hoef en Haag,;
Hoek,;
Hoek van Holland,;
Hoenderloo,;
Hoenderloo,;
Hoensbroek,;
Hoenzadriel,;
Hoevelaken,;
Hoeven,;
Hoge Hexel,;
Hollandsche Rading,;
Hollandscheveld,;
Hollum,;
Holsloot,;
Holten,;
Holthees,;
Holtheme,;
Holthone,;
Holtum,;
Holwerd,;
Holwierde,;
Hommerts,;
Homoet,;
Honselersdijk,;
Hoofddorp,;023-2049720 
Hoofdplaat,;
Hoog Keppel,;
Hoog Soeren,;
Hoogblokland,;
Hooge Mierde,;
Hooge Zwaluwe,;
Hoogeloon,;
Hoogenweg,;
Hoogerheide,;
Hoogersmilde,;
Hoogersmilde,;
Hoogeveen,;0528-217011 
Hoogezand,;
Hooghalen,;
Hoogkarspel,;
Hoogland,;
Hooglanderveen,;
Hoogmade,;
Hoogvliet Rotterdam,;
Hoogwoud,;
Hoorn,;0229-317021 
Hoorn,;0229-317021 
Hoornaar,;
Hoornsterzwaag,;
Horn,;
Hornhuizen,;
Horssen,;
Horst,;
Houten,;030-7601228 
Houtigehage,;
Houwerzijl,;
Huijbergen,;
Huis ter Heide,;
Huis ter Heide,;
Huisduinen,;
Huisseling,;
Huissen,;
Huizen,;035-7601188 
Huizinge,;
Hulsberg,;
Hulsel,;
Hulshorst,;
Hulst,;
Hulten,;
Hummelo,;
H�ns,;
Hunsel,;
Hurdegaryp,;
Hurwenen,;
Idaerd,;
Idsegahuizum,;
Idskenhuizen,;
Idzega,;
Iens,;
IJhorst,;
IJlst,;
IJmuiden,;0255-216031 
IJsselham,;
IJsselmuiden,;
IJsselstein,;030-7601228 
IJzendijke,;
IJzendoorn,;
Ilpendam,;
Indijk,;
Ingber,;
Ingelum,;
Ingen,;
It Heidenskip,;
Itens,;
Ittervoort,;
Jaarsveld,;
Jabeek,;
Jannum,;
Jellum,;
Jelsum,;
Jirnsum,;
Jislum,;
Jisp,;
Jistrum,;
Jonkerslân,;
Jonkersvaart,;
Joppe,;
Jorwert,;
Joure,;
Jouswier,;
Jubbega,;
Julianadorp,;
Jutrijp,;
Kaag,;
Kaard,;
Kaatsheuvel,;
Kalenberg,;
Kallenkote,;
Kamerik,;
Kampen,;038-2038420 
Kamperland,;
Kamperveen,;
Kantens,;
Kapel Avezaath,;
Kapel Avezaath,;
Kapelle,;
Kapellebrug,;
Katlijk,;
Kats,;
Kattendijke,;
Katwijk,;071-2071010 
Katwijk NB,;
Katwoude,;
Kedichem,;
Keent,;
Keijenborg,;
Kekerdom,;
Kelpen Oler,;
Kerk Avezaath,;
Kerk Avezaath,;
Kerkdriel,;
Kerkenveld,;
Kerkrade,;
Kerkwerve,;
Kerkwijk,;
Kessel,;
Kesteren,;
Kiel Windeweer,;
Kilder,;
Kimswerd,;
Kinderdijk,;
Kinnum,;
Klaaswaal,;
Klarenbeek,;
Klarenbeek,;
Klazienaveen,;
Klazienaveen Noord,;
Klein Zundert,;
Klijndijk,;
Klimmen,;
Kloetinge,;
Kloetinge,;
Klooster Lidlum,;
Kloosterburen,;
Kloosterhaar,;
Kloosterhaar,;
Kloosterzande,;
Klundert,;
Knegsel,;
Koarnjum,;
Kockengen,;
Koedijk,;
Koedijk,;
Koekange,;
Koewacht,;
Kolderwolde,;
Kolham,;
Kolhorn,;
Kollum,;
Kollumerpomp,;
Kollumerzwaag,;
Kommerzijl,;
Koningsbosch,;
Koningslust,;
Koog aan de Zaan,;
Koolwijk,;
Kootstertille,;
Kootwijk,;
Kootwijkerbroek,;
Kornhorn,;
Kornwerderzand,;
Kortehemmen,;
Kortenhoef,;
Kortgene,;
Koudekerk aan den Rijn,;
Koudekerke,;
Koudum,;
Koufurderrige,;
Krabbendijke,;
Kraggenburg,;
Kreileroord,;
Krewerd,;
Krimpen aan de Lek,;
Krimpen aan den Ijssel,;
Kring van Dorth,;
Krommenie,;
Kronenberg,;
Kropswolde,;
Kruiningen,;
Kruisland,;
K�baard,;
Kudelstaart,;
Kuinre,;
Kuitaart,;
Kwadendamme,;
Kwadijk,;
Kwintsheul,;
Laag Keppel,;
Laag Soeren,;
Laag Zuthem,;
Lage Mierde,;
Lage Vuursche,;
Lage Zwaluwe,;
Lageland,;
Lageland GN,;
Lambertschaag,;
Lamswaarde,;
Landerum,;
Landgraaf,;
Landhorst,;
Landsmeer,;
Langbroek,;
Langedijke,;
Langelille,;
Langelo,;
Langenboom,;
Langerak,;
Langeveen,;
Langeweg,;
Langezwaag,;
Langweer,;
Laren,;
Laren,;
Lathum,;
Lattrop Breklenkamp,;
Lauwersoog,;
Lauwerzijl,;
Ledeacker,;
Leek,;
Leende,;
Leens,;
Leerbroek,;
Leerdam,;0345-254002 
Leermens,;
Leersum,;
Leeuwarden,;058-2037207 
Legemeer,;
Leiden,;071-2071010 
Leiderdorp,;
Leidschendam,;
Leimuiden,;
Leimuiderbrug,;
Lekkerkerk,;
Lekkum,;
Lellens,;
Lelystad,;0320-331022 
Lemele,;
Lemelerveld,;
Lemiers,;
Lemmer,;0514-760050 
Lengel,;
Lent,;
Leons,;
Lepelstraat,;
Lettelbert,;
Lettele,;
Leunen,;
Leur,;
Leusden,;
Leuth,;
Leutingewolde,;
Leuvenheim,;
Leveroy,;
Lewedorp,;
Lexmond,;
Lichtaard,;
Lichtenvoorde,;
Liempde,;
Lienden,;
Lierderholthuis,;
Lieren,;
Lierop,;
Lies,;
Lieshout,;
Liessel,;
Lievelde,;
Lieveren,;
Lijnden,;
Limbricht,;
Limmen,;
Linde,;
Linden,;
Linne,;
Linschoten,;
Lioessens,;
Lippenhuizen,;
Lisse,;0252-258270 
Lisserbroek,;
Lith,;
Lithoijen,;
Lobith,;
Lochem,;
Loenen,;
Loenen aan de Vecht,;
Loenersloot,;
Loënga,;
Loerbeek,;
Lollum,;
Lomm,;
Longerhouw,;
Loo Gld,;
Loo Gld,;
Loon,;
Loon op Zand,;
Loosbroek,;
Loosdrecht,;
Loozen,;
Lopik,;
Lopikerkapel,;
Loppersum,;
Losdorp,;
Losser,;
Lottum,;
Lucaswolde,;
Luddeweer,;
Luinjeberd,;
Lunteren,;
Lutjebroek,;
Lutjegast,;
Lutjewinkel,;
Luttelgeest,;
Lutten,;
Luttenberg,;
Luxwoude,;
Luyksgestel,;
Lytsewierrum,;
Maarheeze,;
Maarn,;
Maarsbergen,;
Maarssen,;0346-237000 
Maartensdijk,;
Maasbommel,;
Maasbracht,;
Maasbree,;
Maasdam,;
Maasdijk,;
Maashees,;
Maasland,;
Maassluis,;
Maastricht,;043-2061019 
Maastricht Airport,;
Maasvlakte Rotterdam,;
Macharen,;
Made,;
Makkinga,;
Makkum,;
Malden,;
Mander,;
Manderveen,;
Mantgum,;
Mantinge,;
Maren Kessel,;
