Hoofdtelefoonnummer,;088-1881222
Markenbinnen,;
Marknesse,;
Marle,;
Marrum,;
Marsum,;
Marum,;
Marwijksoord,;
Mastenbroek,;
Mastenbroek,;
Matsloot,;
Maurik,;
Mechelen,;
Medemblik,;0227-760128
Meeden,;
Meedhuizen,;
Meerkerk,;
Meerlo,;
Meerssen,;043-2061133
Meerstad,;
Meeuwen,;
Megchelen,;
Megen,;
Meijel,;
Melderslo,;
Melick,;
Meliskerke,;
Melissant,;
Menaam,;
Mensingeweer,;
Meppel,;0522-215139
Meppen,;
Merkelbeek,;
Merselo,;
Meteren,;
Meterik,;
Metslawier,;
Mheer,;
Middelaar,;
Middelburg,;0118-227138
Middelharnis,;
Middelie,;
Middelstum,;
Middenbeemster,;
Middenmeer,;
Midlaren,;
Midlum,;
Midsland,;
Midwolda,;
Midwolde,;
Midwoud,;
Miedum,;
Mierlo,;
Mijdrecht,;0297-303123
Mijnsheerenland,;
Mildam,;
Milheeze,;
Mill,;
Millingen aan de Rijn,;
Milsbeek,;
Minnertsga,;
Mirns,;
Moddergat,;
Moerdijk,;
Moergestel,;
Moerkapelle,;
Moerstraten,;
Molenaarsgraaf,;
Molenhoek,;
Molenschot,;
Molkwerum,;
Monnickendam,;
Monster,;
Montfoort,;
Montfort,;
Mook,;
Mookhoek,;
Moordrecht,;
Moorveld,;
Morra,;
Muiden,;
Muiderberg,;
M�nein,;
Munnekeburen,;
Munnekezijl,;
Munstergeleen,;
Muntendam,;
Mussel,;
Musselkanaal,;
Naaldwijk,;0174-257018
Naarden,;035-7603955
Nagele,;
Nederasselt,;
Nederhemert,;
Nederhorst den Berg,;
Nederland,;
Nederweert,;0495-218100
Nederweert Eind,;
Neede,;
Neer,;
Neerijnen,;
Neeritter,;
Neerkant,;
Neerlangel,;
Neerloon,;
Nes,;
Nes,;
Nes,;
Netersel,;
Netterden,;
Niawier,;
Nibbixwoud,;
Niebert,;
Niehove,;
Niekerk,;
Niekerk,;
Nietap,;
Nieuw  en Sint Joosland,;
Nieuw Amsterdam,;
Nieuw Annerveen,;
Nieuw Balinge,;
Nieuw Beerta,;
Nieuw Beijerland,;
Nieuw Buinen,;
Nieuw Dordrecht,;
Nieuw Heeten,;
Nieuw Lekkerland,;
Nieuw Namen,;
Nieuw Roden,;
Nieuw Scheemda,;
Nieuw Schoonebeek,;
Nieuw Vennep,;0252-258115
Nieuw Vossemeer,;
Nieuw Weerdinge,;
Nieuwaal,;
Nieuwdorp,;
Nieuwe Niedorp,;
Nieuwe Pekela,;
Nieuwe Tonge,;
Nieuwe Wetering,;
Nieuwebrug,;
Nieuwediep,;
Nieuwegein,;030-7600589
Nieuwehorne,;
Nieuwendijk,;
Nieuwer Ter Aa,;
Nieuwerbrug aan den Rijn,;
Nieuwerkerk,;
Nieuwerkerk aan den IJssel,;
Nieuweroord,;
Nieuweroord,;
Nieuwersluis,;
Nieuweschoot,;
Nieuwkoop,;
Nieuwkuijk,;
Nieuwland,;
Nieuwlande,;
Nieuwlande Coevorden,;
Nieuwleusen,;
Nieuwolda,;
Nieuwpoort,;
Nieuwstadt,;
Nieuwveen,;
Nieuwvliet,;
Niezijl,;
Niftrik,;
Nigtevecht,;
Nij Altoenae,;
Nij Beets,;
Nijbroek,;
Nijeberkoop,;
Nijega,;
Nijehaske,;
Nijeholtpade,;
Nijeholtwolde,;
Nijelamer,;
Nijemirdum,;
Nijensleek,;
Nijetrijne,;
Nijeveen,;
Nijhuizum,;
Nijkerk,;
Nijkerkerveen,;
Nijland,;
Nijlande,;
Nijmegen,;024-2042034
Nijverdal,;
Nispen,;
Nisse,;
Nistelrode,;
Noardburgum,;
Nooitgedacht,;
Noorbeek,;
Noord Scharwoude,;
Noord Sleen,;
Noordbeemster,;
Noordbroek,;
Noordeinde,;
Noordeinde Gld,;
Noordeloos,;
Noorden,;
Noordgouwe,;
Noordhoek,;
Noordhorn,;
Noordlaren,;
Noordscheschut,;
Noordwelle,;
Noordwijk,;071-7601021
Noordwijk,;071-7601021
Noordwijkerhout,;
Noordwolde,;
Noordwolde,;
Nootdorp,;015-3061060
Norg,;
Notter,;
Nuenen,;040-2319565
Nuis,;
Nuland,;
Numansdorp,;
Nunhem,;
Nunspeet,;
Nuth,;
Nutter,;
Obbicht,;
Obdam,;
Ochten,;
Odijk,;
Odiliapeel,;
Odoorn,;
Odoornerveen,;
Oeffelt,;
Oegstgeest,;071-7601021
Oene,;
Oentsjerk,;
Offingawier,;
Ohé en Laak,;
Oijen,;
Oirlo,;
Oirsbeek,;
Oirschot,;
Oisterwijk,;013-2070430
Okkenbroek,;
Olburgen,;
Oldeberkoop,;
Oldebroek,;
Oldeholtpade,;
Oldeholtwolde,;
Oldehove,;
Oldekerk,;
Oldelamer,;
Oldemarkt,;
Oldenzaal,;0541-241029
Oldenzijl,;
Oldeouwer,;
Oldetrijne,;
Olst,;
Olterterp,;
Ommel,;
Ommen,;
Ommeren,;
Onderdendam,;
Onna,;
Onnen,;
Onstwedde,;
Ooij,;
Ooltgensplaat,;
Oost Graftdijk,;
Oost Souburg,;
Oost West en Middelbeers,;
Oostburg,;
Oostdijk,;
Oosteind,;
Oosterbeek,;
Oosterbierum,;
Oosterblokker,;
Oosterend,;
Oosterend,;
Oosterhesselen,;
Oosterhout,;0162-241048
Oosterhout,;0162-241048
Oosterland,;
Oosterleek,;
Oosternieland,;
Oosternijkerk,;
Oosterstreek,;
Oosterwijk,;
Oosterwijtwerd,;
Oosterwolde,;
Oosterwolde,;
Oosterzee,;
Oosthem,;
Oosthuizen,;
Oostkapelle,;
Oostknollendam,;
Oostrum,;
Oostrum,;
Oostvoorne,;
Oostwold,;
Oostwold,;
Oostwoud,;
Oostzaan,;
Ootmarsum,;
Opeinde,;
Opende,;
Ophemert,;
Opheusden,;
Opijnen,;
Oploo,;
Opmeer,;
Oppenhuizen,;
Opperdoes,;
Oranje,;
Oranjewoud,;
Orvelte,;
Ospel,;
Oss,;0412-760801
Ossendrecht,;
Ossenisse,;
Ossenwaard,;
Ossenzijl,;
Oterleek,;
Otterlo,;
Ottersum,;
Ottoland,;
Oud Ade,;
Oud Alblas,;
Oud Annerveen,;
Oud Beijerland,;0186-441038
Oud Gastel,;
Oud Ootmarsum,;
Oud Vossemeer,;
Oud Zuilen,;
Ouddorp,;
Oude Meer,;
Oude Niedorp,;
Oude Pekela,;
Oude Tonge,;
Oude Wetering,;
Oude Willem,;
Oudebildtzijl,;
Oudega,;
Oudega,;
Oudega,;
Oudehaske,;
Oudehorne,;
Oudelande,;
Oudemirdum,;
Oudemolen,;
Oudemolen,;
Oudenbosch,;
Oudendijk,;
Oudenhoorn,;
Ouderkerk aan de Amstel,;
Ouderkerk aan den IJssel,;
Oudeschans,;
Oudeschild,;
Oudeschip,;
Oudeschoot,;
Oudesluis,;
Oudewater,;
Oudezijl,;
Oudheusden,;
Oudkarspel,;
Oudkarspel,;
Oudorp,;
Oudwoude,;
Ouwerkerk,;
Ouwster Nijega,;
Ouwsterhaule,;
Overasselt,;
Overberg,;
Overdinkel,;
Overlangel,;
Overloon,;
Overschild,;
Overslag,;
Overveen,;
Ovezande,;
Paasloo,;
Paesens,;
Pannerden,;
Panningen,;
Papekop,;
Papendrecht,;078-2048188
Papenhoven,;
Papenvoort,;
Parrega,;
Paterswolde,;
Peest,;
Peins,;
Peize,;
Peperga,;
Pernis Rotterdam,;
Persingen,;
Pesse,;
Pesse,;
Petten,;
Philippine,;
Piaam,;
Piershil,;
Pieterburen,;
Pietersbierum,;
Pieterzijl,;
Pijnacker,;015-3061060
Pingjum,;
Plasmolen,;
Poederoijen,;
Poeldijk,;
Polsbroek,;
Poortugaal,;
Poortvliet,;
Poppenwier,;
Posterholt,;
Prinsenbeek,;
Puiflijk,;
Punthorst,;
Purmer,;
Purmer,;
Purmerend,;0299-231013
Purmerland,;
Puth,;
Putte,;0164-760327
Putten,;
Puttershoek,;
Raalte,;
Raamsdonk,;
Raamsdonksveer,;
Raard,;
Radewijk,;
Radio Kootwijk,;
Raerd,;
Randwijk,;
Ransdaal,;
Rasquert,;
Ravenstein,;
Ravenswaaij,;
Ravenswoud,;
Readtsjerk,;
Reah�s,;
Reduzum,;
Reek,;
Reeuwijk,;
Reijmerstok,;
Reitsum,;
Rekken,;
Renesse,;
Renkum,;
Renswoude,;
Ressen,;
Retranchement,;
Reusel,;
Reutum,;
Reuver,;
Rha,;
Rheden,;
Rhee,;
Rheeze,;
Rheezerveen,;
Rhenen,;0317-228008
Rhenoy,;
Rhoon,;010-7141167
Ridderkerk,;0180-229089
Ried,;
Riel,;
Rien,;
Riethoven,;
Rietmolen,;
Rijen,;
Rijkevoort,;
Rijkevoort De Walsert,;
Rijnsaterwoude,;
Rijnsburg,;
Rijpwetering,;
Rijs,;
Rijsbergen,;
Rijsenhout,;
Rijssen,;0548-215069
Rijswijk,;070-2092059
Rijswijk (GLD),;
Rijswijk (NB),;
Rilland,;
Rinsumageast,;
Ritthem,;
Rockanje,;
Roden,;050-2069022
Roderesch,;
Roderwolde,;
Roelofarendsveen,;
Roermond,;0475-227111
Rogat,;
Roggel,;
Rohel,;
Rolde,;
Roodeschool,;
Roosendaal,;0165-760343
Roosteren,;
Rosmalen,;073-2048338
Rossum,;
Rossum,;
Roswinkel,;
Rotstergaast,;
Rotsterhaule,;
Rotterdam,;010-7141167
Rotterdam Albrandswaard,;
Rottevalle,;
Rottum,;
Rottum,;
Rouveen,;
Rozenburg,;
Rozenburg,;
Rozendaal,;
Rucphen,;
Ruigahuizen,;
Ruinen,;
Ruinen,;
Ruinerwold,;
Rumpt,;
Rutten,;
Ruurlo,;
Ryptsjerk,;
s Graveland,;
s Gravendeel,;
Den Haag;070-2092059
s Gravenhage,;
's Gravenmoer,;
s Gravenpolder,;
s Gravenzande,;
s Heer Abtskerke,;
s Heer Arendskerke,;
s Heer Hendrikskinderen,;
s Heerenberg,;
s Heerenbroek,;
s Heerenhoek,;
s Hertogenbosch ,;
Den Bosch,;073-2048338
Saaksum,;
Saasveld,;
Saaxumhuizen,;
Sambeek,;
Sandfirden,;
Santpoort Noord,;
Santpoort Zuid,;
Sappemeer,;
Sas van Gent,;
Sassenheim,;
Sauwerd,;
Schagen,;0224-239000
Schagerbrug,;
Schaijk,;
Schalkhaar,;
Schalkwijk,;
Schalsum,;
Schardam,;
Scharendijke,;
Scharmer,;
Scharnegoutum,;
Scharsterbrug,;
Scharwoude,;
Scheemda,;
Scheerwolde,;
Schellinkhout,;
Schelluinen,;
Schermerhorn,;
Scherpenisse,;
Scherpenzeel,;
Scherpenzeel,;
Schettens,;
Scheulder,;
Schiedam,;010-7141167
Schiermonnikoog,;
Schijf,;
Schijndel,;
Schildwolde,;
Schimmert,;
Schin op Geul,;
Schinnen,;
Schinveld,;
Schipborg,;
Schiphol,;
Schiphol Rijk,;
Schipluiden,;
Schokland,;
Schoondijke,;
Schoonebeek,;
Schoonhoven,;
Schoonloo,;
Schoonoord,;
Schoonrewoerd,;
Schoorl,;
Schore,;
Schouwerzijl,;
Schraard,;
Schuinesloot,;
Sebaldeburen,;
Sellingen,;
Serooskerke,;
Serooskerke,;
Sevenum,;
Sexbierum,;
Sibculo,;
Sibculo,;
Sibrandabuorren,;
Sibrandah�s,;
Siddeburen,;
Siebengewald,;
Siegerswoude,;
Sijbekarspel,;
Silvolde,;
Simonshaven,;
Simpelveld,;
Sinderen,;
Sint Agatha,;
Sint Annaland,;
Sint Annen,;
Sint Anthonis,;
Sint Geertruid,;
Sint Hubert,;
Sint Jansklooster,;
Sint Jansteen,;
Sint Joost,;
Sint Kruis,;
Sint Maarten,;
Sint Maartensbrug,;
Sint Maartensdijk,;
Sint Maartensvlotbrug,;
Sint Michielsgestel,;
Sint Nicolaasga,;
Sint Odiliënberg,;
Sint Oedenrode,;
Sint Pancras,;
Sint Philipsland,;
Sintjohannesga,;
Sirjansland,;
Sittard,;046-7600277
Skingen,;
Slagharen,;
Slappeterp,;
Sleen,;
Sleeuwijk,;
Slenaken,;
Sliedrecht,;0184-230034
Slijk Ewijk,;
Slijkenburg,;
Slochteren,;
Slootdorp,;
Sloten,;
Sluis,;
Sluiskil,;
Smakt,;
Smalle Ee,;
Smallebrugge,;
Smilde,;
Snakkerburen,;
Sneek,;0515-221019
Snelrewaard,;
Snikzwaag,;
Soerendonk,;
Soest,;035-7604411
Soesterberg,;
Someren,;
Sommelsdijk,;
Son en Breugel,;
Sondel,;
Sonnega,;
Spaarndam,;
Spaarndam gem. Haarlem,;
Spanbroek,;
Spanga,;
Spankeren,;
Spannum,;
Spaubeek,;
Spier,;
Spier,;
Spierdijk,;
Spijk,;
Spijk,;
Spijk Gn,;
Spijkenisse,;0181-760844
Spijkerboor,;
Spijkerboor,;
Sprang Capelle,;
Sprundel,;
Spui,;
St. Annaparochie,;
St. Jacobiparochie,;
St. Willebrord,;
Stad aan 't Haringvliet,;
Stadskanaal,;0599-760149
Stampersgat,;
Standdaarbuiten,;
Staphorst,;
Starnmeer,;
Startenhuizen,;
Startenhuizen,;
Stavenisse,;
Stavoren,;
Stedum,;
Steenbergen,;
Steenbergen,;
Steendam,;
Steenderen,;
Steenenkamer,;
Steensel,;
Steenwijk,;0521-760037
Steenwijkerwold,;
Stegeren,;
Steggerda,;
Stein,;
Stellendam,;
Sterksel,;
Stevensbeek,;
Stevensweert,;
Steyl,;
Stieltjeskanaal,;
Stiens,;
Stitswerd,;
Stokkum,;
Stolwijk,;
Stompetoren,;
Stoutenburg,;
Stoutenburg Noord,;
Stramproy,;
Streefkerk,;
Striep,;
Strijbeek,;
Strijen,;
Strijensas,;
Stroe,;
Stroobos,;
Stuifzand,;
Stuifzand,;
Sumar,;
Surhuisterveen,;
Surhuizum,;
Susteren,;
Suwâld,;
Swalmen,;
Sweikhuizen,;
Swichum,;
Swifterbant,;
Swolgen,;
't Goy,;
't Haantje,;
't Harde,;
't Loo,;
't Veld,;
't Waar,;
't Zand,;
't Zandt,;
Taarlo,;
Teeffelen,;
Teerns,;
Tegelen,;
Ten Boer,;
Ten Post,;
Ter Aar,;
Ter Aard,;
Ter Apel,;
Ter Apelkanaal,;
Ter Heijde,;
Ter Idzard,;
Terband,;
Terborg,;
Terheijden,;
Terherne,;
Terhole,;
Terkaple,;
Termunten,;
Termunterzijl,;
Ternaard,;
Terneuzen,;0115-760528
Teroele,;
Terschuur,;
Tersoal,;
Terwispel,;
Terwolde,;
Teteringen,;
Teuge,;
Thesinge,;
Tholen,;
Thorn,;
Tiel,;0344-227000
Tiendeveen,;
Tiendeveen,;
Tienhoven,;
Tienhoven,;
Tienray,;
Tijnje,;
Tilburg,;013-2070430
Tilligte,;
Tinallinge,;
Tinte,;
Tirns,;
Tjalhuizum,;
Tjalleberd,;
Tjerkgaast,;
Tjerkwerd,;
Tjuchem,;
Tolbert,;
Toldijk,;
Tolkamer,;
Tollebeek,;
Tonden,;
Toornwerd,;
Tricht,;
Triemen,;
Tripscompagnie,;
Tubbergen,;
Tuil,;
Tuitjenhorn,;
Tuk,;
Tull en 't Waal,;
Twello,;
Twijzel,;
Twijzelerheide,;
Twisk,;
Tynaarlo,;
Tytsjerk,;
Tzum,;
Tzummarum,;
Ubbena,;
Ubbergen,;
Uddel,;
Uden,;0413-418027
Udenhout,;
Uffelte,;
Ugchelen,;
Uitdam,;
Uitgeest,;0251-760063
Uithoorn,;0297-303123
Uithuizen,;
Uithuizermeeden,;
Uitwellingerga,;
Uitwijk,;
Ulestraten,;
Ulft,;
Ulicoten,;
Ulrum,;
Ulvenhout,;
Ulvenhout AC,;
Ureterp,;
Urk,;
Urmond,;
Ursem,;
Ursem gem. S,;
Usquert,;
Utrecht,;030-7600589
Vaals,;
Vaassen,;
Valburg,;
Valkenburg,;043-2061133
Valkenburg,;043-2061133
Valkenswaard,;040-2319565
Valthe,;
Valthermond,;
Varik,;
Varsselder,;
Varsseveld,;
Vasse,;
Veelerveen,;
Veen,;
Veendam,;0598-227009
Veenendaal,;0318-731507
Veenhuizen,;
Veeningen,;
Veenklooster,;
Veenoord,;
Veere,;
Veessen,;
Vegelinsoord,;
Veghel,;
Velddriel,;
Velden,;
Veldhoven,;040-2319565
Velp,;
Velp,;
Velsen Noord,;
Velsen Zuid,;
Velserbroek,;023-2049049
Ven Zelderheide,;
Venebrugge,;
Venhorst,;
Venhuizen,;
Venlo,;077-2061378
Venray,;0478-226006
Vessem,;
Vethuizen,;
Veulen,;
Vianen,;0347-760069
Vianen NB,;
Vierakker,;
Vierhouten,;
Vierhuizen,;
Vierlingsbeek,;
Vierpolders,;
Vijfhuizen,;
Vijlen,;
Vilsteren,;
Vinkega,;
Vinkel,;
Vinkel,;
Vinkenbuurt,;
Vinkeveen,;
Visvliet,;
Vlaardingen,;010-7141167
Vlagtwedde,;
Vledder,;
Vledderveen,;
Vledderveen,;
Vleuten,;030-7600589
Vlieland,;
Vlierden,;
Vlijmen,;
Vlissingen,;0118-227138
Vlist,;
Vlodrop,;
Voerendaal,;
Vogelenzang,;
Vogelwaarde,;
Volendam,;0299-231013
Volkel,;
Vollenhove,;
Vondelingenplaat Rotterdam,;
Voorburg,;070-2092740
Voorhout,;
Voorschoten,;071-7601021
Voorst,;
Voorst,;
Voorthuizen,;
Vorchten,;
Vorden,;
Vorstenbosch,;
Vortum Mullem,;
Vragender,;
Vredenheim,;
Vredepeel,;
Vreeland,;
Vries,;
Vriescheloo,;
Vriezenveen,;
Vroomshoop,;
Vrouwenakker,;
Vrouwenparochie,;
Vrouwenpolder,;
Vught,;
Vuren,;
Waaksens,;
Waal,;
Waalre,;
Waalwijk,;0416-760955
Waarde,;
Waardenburg,;
Waarder,;
Waardhuizen,;
Waarland,;
Waaxens,;
Wachtum,;
Waddinxveen,;0182-441114
Wadenoijen,;
Wagenberg,;
Wagenborgen,;
Wageningen,;0317-228008
Walem,;
Walsoorden,;
Wâlterswâld,;
Wamel,;
Wanneperveen,;
Wanroij,;
Wanssum,;
Wânswert,;
Wapenveld,;
Wapse,;
Wapserveen,;
Warder,;
Warffum,;
Warfhuizen,;
Warfstermolen,;
Warmenhuizen,;
Warmond,;
Warns,;
Warnsveld,;
Warstiens,;
Warten,;
Waskemeer,;
Waspik,;
Wassenaar,;070-2092740
Wateren,;
Watergang,;
Waterhuizen,;
Wateringen,;
Waterlandkerkje,;
Waverveen,;
Wedde,;
Weerselo,;
Weert,;0495-218100
Weesp,;0294-224090
Wehe den Hoorn,;
Wehl,;
Weidum,;
Weiteveen,;
Wekerom,;
Well,;
Well L,;
Wellerlooi,;
Welsum,;
Wemeldinge,;
Wenum Wiesel,;
Wergea,;
Werkendam,;
Werkhoven,;
Wernhout,;
Wervershoof,;
Wesepe,;
Wessem,;
West Graftdijk,;
West Terschelling,;
Westbeemster,;
Westbroek,;
Westdorp,;
Westdorpe,;
Westendorp,;
Westerbeek,;
Westerbork,;
Westerbroek,;
Westeremden,;
Westergeest,;
Westerhaar Vriezenveensewijk,;
Westerhoven,;
Westerland,;
Westerlee,;
Westernieland,;
Westervelde,;
Westervoort,;
Westerwijtwerd,;
Westhem,;
Westhoek,;
Westkapelle,;
Westknollendam,;
Westmaas,;
Westwoud,;
Westzaan,;
Wetering,;
Weteringbrug,;
Wetsens,;
Wetsinge,;
Weurt,;
Wezep,;
Wezup,;
Wezuperbrug,;
Wichmond,;
Wier,;
Wierden,;
Wieringerwaard,;
Wieringerwerf,;
Wierum,;
Wijchen,;024-2042034
Wijckel,;
Wijdenes,;
Wijdewormer,;
Wijhe,;
Wijk aan Zee,;
Wijk bij Duurstede,;
Wijk en Aalburg,;
Wijlre,;
Wijnaldum,;
Wijnandsrade,;
Wijnbergen,;
Wijngaarden,;
Wijnjewoude,;
Wijster,;
Wilbertoord,;
Wildervank,;
Wilhelminadorp,;
Wilhelminaoord,;
Willemsoord,;
Willemstad,;
Wilnis,;
Wilp,;
Wilsum,;
Winde,;
Windraak,;
Winkel,;
Winneweer,;
Winschoten,;0597-225008
Winssen,;
Winsum,;
Winsum,;
Wintelre,;
Winterswijk,;
Winterswijk Brinkheurne,;
Winterswijk Corle,;
Winterswijk Henxel,;
Winterswijk Huppel,;
Winterswijk Kotten,;
Winterswijk Meddo,;
Winterswijk Miste,;
Winterswijk Ratum,;
Winterswijk Woold,;
Wirdum,;
Wirdum Gn,;
Wissenkerke,;
Witharen,;
Witmarsum,;
Witte Paarden,;
Wittelte,;
Wittem,;
Witteveen,;
Wiuwert,;
Wjelsryp,;
Woensdrecht,;
Woerden,;0348-220139
Woerdense Verlaat,;
Wognum,;
Woldendorp,;
Wolfheze,;
Wolphaartsdijk,;
Wolsum,;
Woltersum,;
Wolvega,;
Wommels,;
Wons,;
Workum,;
Wormer,;
Wormerveer,;
Woubrugge,;
Woudbloem,;
Woudenberg,;
Woudrichem,;
Woudsend,;
Wouw,;
Wouwse Plantage,;
Wyns,;
Wytgaard,;
Yde,;
Yerseke,;
Ypecolsga,;
Ysbrechtum,;
Ysselsteyn,;
Zaamslag,;
Zaandam,;075-7600095
Zaandijk,;
Zalk,;
Zaltbommel,;0418-226017
Zandberg,;
Zandeweer,;
Zandhuizen,;
Zandpol,;
Zandvoort,;023-2049049
Zeddam,;
Zeegse,;
Zeeland,;
Zeerijp,;
Zeewolde,;036-7603299
Zegge,;
Zegveld,;
Zeijen,;
Zeijerveen,;
Zeijerveld,;
Zeist,;030-7600589
Zelhem,;
Zenderen,;
Zennewijnen,;
Zennewijnen,;
Zetten,;
Zevenaar,;0316-215068
Zevenbergen,;
Zevenbergschen Hoek,;
Zevenbergschen Hoek,;
Zevenhoven,;
Zevenhuizen,;
Zevenhuizen,;
Zierikzee,;0111-219027
Zieuwent,;
Zijderveld,;
Zijdewind,;
Zijldijk,;
Zoelen,;
Zoelmond,;
Zoetermeer,;079-7600550
Zoeterwoude,;
Zonnemaire,;
Zorgvlied,;
Zoutelande,;
Zoutkamp,;
Zuid Beijerland,;
Zuid Scharwoude,;
Zuidbroek,;
Zuiddorpe,;
Zuidermeer,;
Zuiderwoude,;
Zuidhorn,;
Zuidlaarderveen,;
Zuidland,;
Zuidlaren,;050-2069022
Zuidoostbeemster,;
Zuidschermer,;
Zuidveen,;
Zuidveld,;
Zuidvelde,;
Zuidwolde,;
Zuidwolde,;
Zuidzande,;
Zuilichem,;
Zuna,;
Zundert,;
Zurich,;
Zutphen,;0575-229002
Zuurdijk,;
Zwaag,;
Zwaagdijk Oost,;
Zwaagdijk West,;
Zwaanshoek,;
Zwagerbosch,;
Zwammerdam,;
Zwanenburg,;
Zwartebroek,;
Zwartemeer,;
Zwartewaal,;
Zwartsluis,;
Zweeloo,;
Zweins,;
Zwiggelte,;
Zwijndrecht,;078-2048188
Zwinderen,;
Zwolle,;
